"TARGET_DT0","INDEX_VALUE1","TOTAL_EA2","TOTAL_VOLUME3","ANT4","FOREIGNER5","COMPANY6","INVEST_BANK7","INVEST_TRUST8","PENSION_FUND9"
"2008.04.21",1800.48,298807,5560345,-2719,3262,-543,98,-1124,504
"2008.04.22",1787.49,346340,6079657,79,286,-365,455,-511,-87
"2008.04.23",1800.79,339777,6445407,-750,-1982,2732,1192,437,1007
"2008.04.24",1799.34,496631,6359534,608,1254,-1861,299,-3138,614
"2008.04.25",1824.68,327353,6330954,-2801,946,1855,-350,2328,73
"2008.04.28",1823.17,371150,6258098,1271,2826,-4098,-235,-2969,-566
"2008.04.29",1811.51,271820,5000201,604,585,-1189,203,-1138,7
"2008.04.30",1825.47,244676,5174826,61,-3149,3087,72,587,2041
"2008.05.02",1848.27,267054,5795183,-2039,1223,816,-220,14,1182
"2008.05.06",1859.06,303439,5819195,-2047,-342,2388,1669,-527,1543
"2008.05.07",1854.01,383773,6584013,-1102,-212,1313,747,-1183,1823
"2008.05.08",1848.0,319041,5999913,1285,-3329,2044,1470,-867,1657
"2008.05.09",1823.7,279934,5752883,4569,1256,-5825,78,-5759,-829
"2008.05.13",1842.8,265168,5615708,-1485,512,973,-19,1333,-174
"2008.05.14",1843.75,297575,5691984,1306,-24,-1282,337,-1756,-5
"2008.05.15",1885.71,414694,7283230,-7160,3217,3943,-77,3158,215
"2008.05.16",1888.88,301515,6787657,-1126,4473,-3347,130,-2166,-903
"2008.05.19",1885.37,355875,6892318,1246,-571,-675,101,-678,490
"2008.05.20",1873.15,336234,6289872,2663,-1978,-686,297,-1756,576
"2008.05.21",1847.51,315883,5812721,1153,1395,-2547,-3660,-246,1317
"2008.05.22",1835.42,357202,5563855,4020,-1780,-2240,592,-3070,68
"2008.05.23",1827.94,299024,4675213,1766,276,-2041,143,-3100,565
"2008.05.26",1800.58,281722,5159733,545,-1326,781,741,1131,-1527
"2008.05.27",1825.23,260215,4553151,-1020,-206,1226,303,-77,544
"2008.05.28",1805.64,299463,5134547,800,3539,-4339,934,-4811,-817
"2008.05.29",1841.22,298811,5067933,-6001,757,5244,-818,5094,652
"2008.05.30",1852.02,287533,6065333,-1918,2335,-417,340,-1057,-476
"2008.06.02",1847.53,234358,4457516,634,1175,-1809,627,-3526,1094
"2008.06.03",1819.39,258835,4733681,2459,-1654,-805,445,-1753,145
"2008.06.04",1833.81,235822,4173917,-609,-2166,2775,-316,1927,865
"2008.06.05",1832.31,274929,4855193,748,1226,-1974,539,-3265,528
"2008.06.09",1808.96,249225,4883841,119,-1593,1474,818,-1683,1660
"2008.06.10",1774.38,322732,5307856,3149,-2763,-386,827,-2035,84
"2008.06.11",1781.67,282731,4894449,1999,-3078,1079,268,918,-449
"2008.06.12",1739.36,379674,6699139,5551,-9690,4139,1952,-471,2332
"2008.06.13",1747.35,401945,5424380,45,-3417,3372,182,2255,847
"2008.06.16",1760.82,375385,4516328,740,-621,-119,-65,303,-197
"2008.06.17",1750.71,334899,4812295,892,-1953,1061,447,351,243
"2008.06.18",1774.13,342972,4239339,-1084,-2179,3262,17,2615,684
"2008.06.19",1740.72,401465,4600549,3048,-2578,-471,1265,-2240,229
"2008.06.20",1731.0,330873,4191380,1272,-1871,599,616,-847,635
"2008.06.23",1715.59,303115,3667269,634,-4010,3376,498,2330,305
"2008.06.24",1710.84,364034,3836689,1247,-3692,2444,605,1631,133
"2008.06.25",1717.79,345224,4119621,243,-3022,2779,13,2016,683
"2008.06.26",1717.66,328692,3883496,-222,-193,414,116,195,-38
"2008.06.27",1684.45,285239,4010757,181,-4113,3932,860,2835,99
"2008.06.30",1674.92,261841,3825644,-2822,-1491,4313,365,3681,290
"2008.07.01",1666.46,277959,4219205,-1108,-1483,2591,312,1762,295
"2008.07.02",1623.6,335909,5327882,-1641,-4219,5860,1100,3750,459
"2008.07.03",1606.54,351921,5704210,-2461,-4435,6896,1435,1360,2552
"2008.07.04",1577.94,246914,4052660,561,-2658,2097,1807,-354,393
"2008.07.07",1579.72,249999,4051957,-1555,-1167,2723,892,1441,391
"2008.07.08",1533.47,331933,5216053,-892,-2630,3522,1482,1056,502
"2008.07.09",1519.38,328712,5159925,505,-1814,1308,377,-383,1004
"2008.07.10",1537.43,354133,6139414,-194,-2611,2805,6162,-6621,1886
"2008.07.11",1567.51,326517,4990736,1150,-3278,2129,-340,-654,1390
"2008.07.14",1558.62,257095,3768833,1323,-2261,938,571,-241,175
"2008.07.15",1509.33,297779,4589063,1683,-2475,792,1421,316,-465
"2008.07.16",1507.4,296839,4906906,1697,-4374,2678,2397,577,269
"2008.07.17",1525.56,319672,4510595,1942,-1338,-605,482,-1762,386
"2008.07.18",1509.99,304089,4059599,1243,-1805,561,366,-473,513
"2008.07.21",1562.92,295880,5062473,-3455,-2056,5511,1215,2144,1565
"2008.07.22",1561.23,252150,3396305,-116,-2001,2117,546,1314,116
"2008.07.23",1591.76,351500,5417526,-1312,-2793,4106,335,1899,1294
"2008.07.24",1626.14,347623,5827774,-2821,1662,1160,-23,857,-278
"2008.07.25",1597.93,266594,4291990,1071,-1813,741,1080,188,-633
"2008.07.28",1598.29,252249,3911702,2301,-2602,301,365,452,-408
"2008.07.29",1567.2,261539,4105912,2919,-1522,-1397,494,-3330,1136
"2008.07.30",1577.7,265654,4661271,349,-2610,2261,289,972,232
"2008.07.31",1594.67,232963,4109110,-1579,847,732,-153,861,49
"2008.08.01",1573.77,231146,3283819,1342,-1147,-195,645,-1256,348
"2008.08.04",1543.05,246441,4114608,3338,-953,-2384,479,-3096,378
"2008.08.05",1535.54,244744,4824845,-342,-5730,6072,1006,4532,552
"2008.08.06",1578.71,276596,4528090,-1770,-786,2556,532,990,950
"2008.08.07",1564.0,218961,3888218,269,357,-626,359,-1581,232
"2008.08.08",1568.72,221266,3646557,-286,-397,683,186,-815,1071
"2008.08.11",1581.09,254522,4297147,-2051,-1171,3222,113,2638,424
"2008.08.12",1577.12,251617,4212355,-2479,1606,873,-143,494,241
"2008.08.13",1562.72,231571,3255884,2193,-56,-2137,361,-1665,-786
"2008.08.14",1572.19,247586,3638535,-68,626,-558,2308,-2986,211
"2008.08.18",1567.71,260725,3353242,763,32,-794,621,-1494,-376
"2008.08.19",1541.41,261068,3307357,2071,-3666,1595,301,169,75
"2008.08.20",1540.71,243645,3529401,1686,-4324,2637,52,2006,-402
"2008.08.21",1512.59,259494,3723852,1443,-1557,115,4,-797,-68
"2008.08.22",1496.91,226152,3660887,-401,-2760,3162,162,1463,471
"2008.08.25",1502.11,198225,2829582,-1263,-991,2254,-223,1597,480
"2008.08.26",1490.25,213030,3146392,-1275,-3276,4550,114,3787,337
"2008.08.27",1493.92,241509,3767069,-1708,-2871,4579,1350,2239,666
"2008.08.28",1474.15,216071,3166674,352,-544,192,217,-1428,115
"2008.08.29",1474.24,242038,4107983,-2148,-2391,4539,370,3522,-222
"2008.09.01",1414.43,316548,4996041,-3617,-277,3893,1233,636,664
"2008.09.02",1407.14,373325,5428800,-4246,-2526,6773,1383,-149,4035
"2008.09.03",1426.89,366983,5091242,-1339,-80,1420,256,-1956,1510
"2008.09.04",1426.43,372818,4762073,1889,-3015,1126,509,-1584,1001
"2008.09.05",1404.38,298453,4130795,1050,-2526,1476,312,-1208,1702
"2008.09.08",1476.65,399095,6211899,-1400,97,1302,722,-3031,2717
"2008.09.09",1454.5,443668,4688705,2306,-2062,-244,331,-2522,1554
"2008.09.10",1464.98,421171,5400139,142,-5513,5371,141,2854,2145
"2008.09.11",1443.24,362983,6088531,5149,1135,-6284,574,-13330,6118
"2008.09.12",1477.92,311707,4682243,-1450,-3928,5378,667,1978,2160
"2008.09.16",1387.75,392618,6283923,-2603,-6054,8657,698,3384,4127
"2008.09.17",1425.26,398240,5686966,662,1159,-1820,84,-2983,1001
"2008.09.18",1392.42,413289,5497187,3559,-4983,1424,247,-1463,3056
"2008.09.19",1455.78,468627,7693531,-8097,2471,5626,2085,2765,934
"2008.09.22",1460.34,354291,6038630,-3810,2146,1664,381,525,855
"2008.09.23",1481.37,470330,4995026,-393,-2823,3216,865,1332,1163
"2008.09.24",1495.98,498514,5705261,-85,422,-338,1429,-1471,102
"2008.09.25",1501.63,419061,4677910,1309,-2318,1009,2147,-1579,698
"2008.09.26",1476.33,405904,4271592,2431,-1679,-752,-143,-1099,872
"2008.09.29",1456.36,365861,4902427,3776,4700,-8476,606,-6837,-1114
"2008.09.30",1448.06,412764,5365498,-753,-1044,1797,1330,-2003,1428
"2008.10.01",1439.67,314148,3843718,3505,-1073,-2432,313,-2266,-433
"2008.10.02",1419.65,317911,4100668,2249,-3243,994,533,260,561
"2008.10.06",1358.75,312327,4863991,4070,-2481,-1589,18,-873,-291
"2008.10.07",1366.1,349220,4655686,-123,-1087,1210,-123,1234,217
"2008.10.08",1286.69,431276,5013642,1543,-447,-1096,-6,-1774,863
"2008.10.09",1294.89,451716,5543639,-160,-845,1005,519,-318,614
"2008.10.10",1241.47,461227,6217933,2912,-4010,1098,74,-1329,1564
"2008.10.13",1288.53,384672,5431704,1303,-5186,3883,1163,2374,12
"2008.10.14",1367.69,460831,6857740,-802,1396,-594,135,-798,-290
"2008.10.15",1340.28,347659,4827580,2364,-4427,2063,-253,2330,166
"2008.10.16",1213.78,409054,6038717,5700,-6198,498,-510,-575,1647
"2008.10.17",1180.67,420137,6422161,5827,-4943,-884,-206,115,-237
"2008.10.20",1207.63,373003,5610210,-561,-3475,4036,27,3231,754
"2008.10.21",1196.1,389184,4663499,1305,-108,-1197,253,-2224,606
"2008.10.22",1134.59,374836,5173183,3357,-3569,212,-296,-1782,2079
"2008.10.23",1049.71,401449,5284688,1364,-992,-372,-50,-2818,2182
"2008.10.24",938.75,443071,5364360,-794,-2750,3543,-563,223,3643
"2008.10.27",946.45,540670,5742229,-3546,-3179,6724,-235,679,5856
"2008.10.28",999.16,649405,6187051,-162,-2821,2983,700,-908,1479
"2008.10.29",968.97,763356,8199227,-61,82,-21,-617,-935,941
"2008.10.30",1084.72,621582,7318512,-2050,272,1777,1274,-318,-60
"2008.10.31",1113.06,864736,9035239,-2615,3215,-599,25,-417,-716
"2008.11.03",1129.08,568239,7097480,2092,-444,-1648,260,-543,-688
"2008.11.04",1153.35,603553,6710233,1157,-4507,3351,263,2839,366
"2008.11.05",1181.5,790140,7875757,-2146,671,1476,432,1567,-428
"2008.11.06",1092.22,657593,5294369,1541,-2830,1289,-213,1281,180
"2008.11.07",1134.49,846302,6850762,36,-276,240,649,-1940,1081
"2008.11.10",1152.46,717430,7052188,-2041,89,1952,862,793,287
"2008.11.11",1128.73,600706,5710032,-348,-976,1324,-117,1330,100
"2008.11.12",1123.86,605646,4991279,-576,-1784,2359,425,1745,237
"2008.11.13",1088.44,566726,5294758,4161,-3605,-556,-55,-1480,974
"2008.11.14",1088.26,440467,4986385,4242,-1367,-2875,637,-2705,-329
"2008.11.17",1078.32,413381,4741057,1223,-1029,-194,142,-738,521
"2008.11.18",1036.16,377402,4075240,3621,-1642,-1978,27,-2153,114
"2008.11.19",1016.82,404552,4146454,2555,-2443,-112,-237,-22,158
"2008.11.20",948.69,423966,3878931,285,-879,594,-355,91,595
"2008.11.21",1003.73,602083,5004185,-641,63,577,169,-160,253
"2008.11.24",970.14,464177,4726709,1314,-834,-481,72,-999,143
"2008.11.25",983.32,486130,5312290,-498,-524,1022,152,320,64
"2008.11.26",1029.78,515460,5073124,-3182,1185,1997,200,469,751
"2008.11.27",1063.48,563612,5869125,-4507,1939,2568,236,1128,489
"2008.11.28",1076.07,555242,5093466,-4741,2756,1985,386,994,360
"2008.12.01",1058.62,627314,4607437,305,338,-644,236,-769,-131
"2008.12.02",1023.2,421082,4008312,624,-96,-527,-200,-721,247
"2008.12.03",1022.67,478664,5221660,3353,-1437,-1916,54,-2262,270
"2008.12.04",1006.54,397371,4380304,1585,-99,-1486,33,-2464,766
"2008.12.05",1028.13,398551,3579182,-2427,-62,2489,159,2108,103
"2008.12.08",1105.05,540324,6437609,-7686,1146,6540,1404,4611,134
"2008.12.09",1105.84,485052,5939209,-2283,1992,292,1407,-658,-334
"2008.12.10",1145.87,558853,7334730,-7920,3360,4560,1572,2964,254
"2008.12.11",1154.43,576042,7834441,-2682,-1152,3834,3833,-1190,704
"2008.12.12",1103.82,621676,6274252,3181,115,-3296,30,146,435
"2008.12.15",1158.19,484805,5715409,-2732,975,1757,2193,9,-131
"2008.12.16",1161.56,626357,6716402,1692,-596,-1095,341,-1428,124
"2008.12.17",1169.75,647376,6483009,707,1304,-2011,212,-1472,-203
"2008.12.18",1175.91,557478,5820467,-1743,79,1663,1926,531,-422
"2008.12.19",1180.97,684720,5314178,-2489,2332,157,732,398,-491
"2008.12.22",1179.61,450367,4535436,1327,189,-1516,93,-821,1132
"2008.12.23",1144.31,434761,4045160,1366,-659,-707,39,-1209,1127
"2008.12.24",1128.51,406306,3415599,1316,-1013,-303,-175,-395,458
"2008.12.26",1117.86,344845,2942871,949,-534,-416,34,-405,-299
"2008.12.29",1117.59,312065,2580311,-1075,451,624,-105,-1062,2087
"2008.12.30",1124.47,357646,3212517,-4856,1917,2939,25,2378,1315
"2009.01.02",1157.4,340539,3950243,-1574,643,931,237,-249,371
"2009.01.05",1173.57,414533,5189778,-2513,3341,-829,728,-2544,100
"2009.01.06",1194.28,443954,5492389,-7514,3683,3830,376,3433,-361
"2009.01.07",1228.17,568342,7553713,-5887,5606,281,365,-881,267
"2009.01.08",1205.7,472196,5718817,1895,-1326,-569,1312,-2055,397
"2009.01.09",1180.96,443276,5248039,2501,-854,-1647,459,-1832,208
"2009.01.12",1156.75,352580,3849906,2080,-992,-1088,-156,-1659,990
"2009.01.13",1167.71,381226,4034586,2048,313,-2362,-30,-2695,333
"2009.01.14",1182.68,358682,3896070,-65,103,-37,344,-315,8
"2009.01.15",1111.34,366214,4490338,5635,-1782,-3853,-663,-4451,1071
"2009.01.16",1135.2,335548,4029407,2363,-3075,712,59,829,47
"2009.01.19",1150.65,370042,4426414,-1308,1630,-322,146,-993,356
"2009.01.20",1126.81,319212,3732735,1892,-616,-1275,10,-2754,1418
"2009.01.21",1103.61,334380,4086767,2901,-2428,-473,-140,-1338,1140
"2009.01.22",1116.23,346702,4209813,1996,-636,-1360,143,-1244,-166
"2009.01.23",1093.4,268034,3467650,2705,-1473,-1232,-89,-2490,1180
"2009.01.28",1157.98,345131,4500217,-7045,1408,5638,603,3590,1085
"2009.01.29",1166.56,384619,4787127,-6710,3758,2952,373,960,1514
"2009.01.30",1162.11,376959,3887057,-2624,391,2233,206,365,1717
"2009.02.02",1146.95,374462,4403323,1208,2297,-3505,267,-3923,221
"2009.02.03",1163.2,347602,4315095,-1568,2356,-788,122,-1959,660
"2009.02.04",1195.37,449968,5640787,-6197,2231,3966,322,3349,208
"2009.02.05",1177.88,463377,5207129,-1934,2720,-786,-4,-992,276
"2009.02.06",1210.26,570678,5345254,-1524,980,544,-1419,1627,-916
"2009.02.09",1202.69,475568,4840076,-76,475,-399,9,-56,110
"2009.02.10",1198.87,468386,4068379,568,-2167,1599,477,1481,5
"2009.02.11",1190.18,469613,4206265,1435,-1100,-334,280,-1463,935
"2009.02.12",1179.84,487946,4716511,6699,-2106,-4593,1362,-6634,701
"2009.02.13",1192.44,574715,4142140,-557,-1285,1842,248,1043,498
"2009.02.16",1175.47,509327,4096819,2887,-148,-2738,145,-2212,-249
"2009.02.17",1127.19,546286,4629679,4805,-1748,-3057,-292,-2844,653
"2009.02.18",1113.19,598131,4577894,5013,-1722,-3291,133,-4721,1144
"2009.02.19",1107.1,641432,4598103,3643,-1340,-2303,146,-3814,994
"2009.02.20",1065.95,587333,4052719,3436,-3572,135,136,-780,1684
"2009.02.23",1099.55,395968,3781252,165,-121,-44,41,-986,395
"2009.02.24",1063.88,576242,3737806,2548,-2988,440,-32,-1294,1725
"2009.02.25",1067.08,735242,4063375,2212,-487,-1726,-199,-1566,217
"2009.02.26",1054.79,574940,4052839,1140,-987,-153,-6,-580,479
"2009.02.27",1063.03,498237,3525824,-846,-35,880,8,-815,1032
"2009.03.02",1018.81,413891,3295452,4064,-4087,22,-91,-631,270
"2009.03.03",1025.57,543321,3497372,-776,-1768,2544,-180,1776,649
"2009.03.04",1059.26,490749,4125722,-476,-1776,2252,465,551,722
"2009.03.05",1058.18,509820,4438499,-78,676,-598,75,-780,48
"2009.03.06",1055.03,465690,3394264,-1101,-367,1469,-19,1386,371
"2009.03.09",1071.73,457857,3401922,907,-597,-311,190,-598,183
"2009.03.10",1092.2,614037,4759077,-3561,1770,1791,215,1013,514
"2009.03.11",1127.51,574161,5555413,-6941,5584,1357,339,1848,-576
"2009.03.12",1128.39,536778,5914198,-2279,-7149,9428,1509,7685,941
"2009.03.13",1126.03,506108,5149618,947,-527,-421,185,1240,297
"2009.03.16",1125.46,435916,4274238,1112,-542,-570,358,-1164,436
"2009.03.17",1163.88,726612,5715760,-6202,268,5935,1368,3577,804
"2009.03.18",1169.95,519929,4984745,-1170,259,910,992,-190,24
"2009.03.19",1161.81,532377,5051089,123,443,-566,681,-193,-258
"2009.03.20",1170.94,369582,4168081,-1546,1020,526,700,75,-265
"2009.03.23",1199.5,454482,4644902,-3419,2138,1089,674,952,-555
"2009.03.24",1221.7,505304,5780776,-1863,3821,-1918,420,-1146,-1052
"2009.03.25",1229.02,488530,5015422,17,97,-232,310,23,-227
"2009.03.26",1243.8,579961,5811530,-865,592,543,989,-119,-156
"2009.03.27",1237.51,694315,6937311,-267,3351,-3198,150,-1857,-674
"2009.03.30",1197.46,520189,4833005,2354,-1067,-1263,-153,-281,56
"2009.03.31",1206.26,496465,5055553,1112,-1657,583,657,194,-272
"2009.04.01",1233.36,578847,6338313,-2026,739,1183,1276,-576,-128
"2009.04.02",1276.97,720243,7787151,-8237,3555,4486,1589,2200,26
"2009.04.03",1283.75,608853,7654069,-5325,4731,397,1031,62,-336
"2009.04.06",1297.85,719091,7752072,-1628,2619,-902,852,167,-1281
"2009.04.07",1300.1,678610,6464049,1443,-1161,-493,1236,-818,-955
"2009.04.08",1262.07,742604,6589259,6059,-3281,-2737,754,-2312,-582
"2009.04.09",1316.35,920617,8954383,-249,2884,-2665,1733,-3174,-1560
"2009.04.10",1336.04,911737,8983886,794,4120,-4843,1622,-2227,-2974
"2009.04.13",1338.26,807509,8139756,1168,3976,-5311,724,-2886,-1873
"2009.04.14",1342.63,924356,8202891,2300,1266,-3758,875,-3693,-568
"2009.04.15",1333.09,798176,7985854,2728,-1107,-1947,440,-2094,30
"2009.04.16",1336.72,733455,8759560,1055,4786,-5797,722,-4832,-1589
"2009.04.17",1329.0,783034,8104099,1905,4799,-6432,700,-4926,-1659
"2009.04.20",1336.39,556193,5821139,2508,2402,-4610,267,-3827,-730
"2009.04.21",1336.81,629611,6430669,2351,-823,-1533,670,-902,-493
"2009.04.22",1356.02,717592,8428286,1251,1885,-3259,796,-2231,-1575
"2009.04.23",1368.8,736479,8744943,251,1578,-1677,772,-620,-1293
"2009.04.24",1354.1,664460,8014822,1598,1370,-2859,-297,-615,-1043
"2009.04.27",1339.83,537024,6791611,3647,-673,-2860,108,-2018,-591
"2009.04.28",1300.24,746187,7509082,1923,-262,-952,-645,1922,-1471
"2009.04.29",1338.42,591294,5577139,-2678,1385,1385,551,1240,-534
"2009.04.30",1369.36,794108,8423995,-7480,5737,1892,1730,809,-874
"2009.05.04",1397.92,737372,8851067,-8,4029,-3753,865,-3430,-1361
"2009.05.06",1393.45,727693,9664083,2008,3068,-4969,791,-3914,-1531
"2009.05.07",1401.08,758933,9393497,2482,2266,-4395,882,-3939,-784
"2009.05.08",1412.13,705754,7292385,-1380,4403,-2504,584,3907,226
"2009.05.11",1415.16,668426,6869453,2130,2767,-4760,863,-4865,-296
"2009.05.12",1403.51,754830,6535928,1265,24,-807,1201,198,-1020
"2009.05.13",1414.52,705970,6932344,683,-513,-74,2037,-781,-1143
"2009.05.14",1380.95,694052,7466273,6657,-774,-5574,4002,-8390,-635
"2009.05.15",1391.73,677500,6638407,2715,218,-2732,81,-1538,-1487
"2009.05.18",1386.68,546147,5950848,3035,1709,-4528,375,-3308,-1379
"2009.05.19",1428.21,767493,7667928,-3143,4239,-1377,-11,-996,-1280
"2009.05.20",1435.7,690425,6644488,-2379,5183,-2908,196,-2418,-365
"2009.05.21",1421.65,858715,7779624,3170,426,-2988,412,-1563,-1052
"2009.05.22",1403.75,667404,7713851,2682,657,-2953,420,-1002,-1465
"2009.05.25",1400.9,817845,8525824,2508,2107,-4679,187,-3891,-810
"2009.05.26",1372.04,648074,7851331,3054,1568,-4642,646,-4457,-502
"2009.05.27",1362.02,768324,7994160,-197,3277,-2840,-236,-3188,-260
"2009.05.28",1392.17,609908,6855994,-3817,2514,2082,391,746,35
"2009.05.29",1395.89,530293,6827934,-589,3599,-2767,268,-3485,203
"2009.06.01",1415.1,540442,5968484,-1397,3311,-1573,182,-2212,64
"2009.06.02",1412.85,684257,8070943,-1373,4930,-3375,453,-3007,-1307
"2009.06.03",1414.89,658795,6965272,416,-941,1106,-5,1045,-425
"2009.06.04",1378.14,571538,6765725,5764,-1084,-4432,347,-3842,-861
"2009.06.05",1394.71,495055,5824173,1929,1003,-2726,-274,-1098,-1253
"2009.06.08",1393.3,508079,5331675,873,433,-938,36,-1154,54
"2009.06.09",1371.84,472820,5779154,3358,954,-4070,-392,-2538,-545
"2009.06.10",1414.88,488355,5928597,-7176,4306,2729,-725,3840,-363
"2009.06.11",1419.39,478309,6881322,-3589,7016,-3553,-386,-3793,819
"2009.06.12",1428.59,500474,5235080,332,2472,-2761,136,-2481,-231
"2009.06.15",1412.42,419006,4852643,5032,-443,-3981,15,-3504,182
"2009.06.16",1399.15,465053,4495822,3681,-1667,-2032,-152,-1313,110
"2009.06.17",1391.17,448188,4543442,3448,-1497,-2066,-180,-493,-981
"2009.06.18",1375.76,490909,4395013,2403,-491,-1990,483,-177,-700
"2009.06.19",1383.34,461641,4208654,630,256,-1022,-43,-90,-638
"2009.06.22",1399.71,394599,4105285,-497,176,324,-55,1190,-249
"2009.06.23",1360.54,489752,4823048,4361,-2148,-2256,141,-1001,-169
"2009.06.24",1363.79,423535,4408828,1399,-770,-517,-328,-68,-245
"2009.06.25",1392.73,439842,5108783,-4914,4246,835,448,783,-703
"2009.06.26",1394.53,416235,4550737,-281,3545,-3140,281,-666,-608
"2009.06.29",1388.45,416806,3948033,-253,293,-57,7,450,-329
"2009.06.30",1390.07,462563,4674624,-3947,581,3376,81,3265,81
"2009.07.01",1411.66,495691,4975005,-2227,1797,322,22,275,-147
"2009.07.02",1411.48,455669,4627005,64,2802,-3257,333,-3947,168
"2009.07.03",1420.04,392031,4041702,-2240,779,1458,162,94,709
"2009.07.06",1428.94,372986,4456508,-1652,1144,192,599,-702,85
"2009.07.07",1434.2,446259,4938392,-240,1480,-917,23,-907,239
"2009.07.08",1431.02,426600,4960187,2163,-1975,-185,-49,191,-234
"2009.07.09",1430.89,426833,5547647,674,3123,-3677,325,-4326,-130
"2009.07.10",1428.62,449512,4645466,-93,-370,584,77,-269,29
"2009.07.13",1378.12,437912,4912634,3773,-2268,-1635,729,-1439,-381
"2009.07.14",1385.56,419762,4948279,2261,-193,-1981,-243,-1346,-260
"2009.07.15",1420.86,390992,5174051,-3247,4732,-1399,-417,-1069,-148
"2009.07.16",1432.22,417428,5406616,-5124,5367,-353,64,1191,-2088
"2009.07.17",1440.1,397188,4440500,-3086,1604,1242,429,1617,-1367
"2009.07.20",1478.51,498888,6195648,-9238,5153,4076,710,3485,-1042
"2009.07.21",1488.99,507936,6626054,-2757,4029,-1194,-34,-207,-1147
"2009.07.22",1494.04,498809,5965006,-1579,3157,-1405,188,-56,-1589
"2009.07.23",1496.49,633991,6540063,-3679,3162,982,575,581,-373
"2009.07.24",1502.59,525376,6356024,-3914,4375,-230,1100,-315,-618
"2009.07.27",1524.05,474220,5881570,-4616,4784,-47,387,464,-466
"2009.07.28",1526.03,422747,5497267,-1972,4900,-2918,6,-2432,-183
"2009.07.29",1524.32,475122,6060567,-820,2873,-1931,-334,-185,-643
"2009.07.30",1534.74,422381,5461810,714,2629,-3031,-16,-2072,-652
"2009.07.31",1557.29,458007,7172809,-5287,5433,-48,-30,-765,247
"2009.08.03",1564.98,483313,6797212,-1578,3870,-2008,343,-2316,-395
"2009.08.04",1566.37,579976,8078758,-674,5417,-4580,276,-3587,-1072
"2009.08.05",1559.47,487504,5968693,-296,690,-328,721,-219,-901
"2009.08.06",1565.04,484871,6029345,-1011,151,1086,695,1401,-887
"2009.08.07",1576.0,461524,5566648,-918,1863,-1082,779,-1272,-728
"2009.08.10",1576.11,485342,5631200,1009,3418,-4494,164,-2733,-1484
"2009.08.11",1579.21,563174,6241916,-2223,1891,379,784,767,-810
"2009.08.12",1565.35,498215,6506022,2290,-129,-2219,853,-1269,-1743
"2009.08.13",1564.64,549089,7308872,3562,2505,-6022,1837,-7304,-1358
"2009.08.14",1591.41,591193,6712329,-1846,3696,-1684,224,-228,-1929
"2009.08.17",1547.06,585949,6701262,7084,1224,-7945,-11,-6190,-1188
"2009.08.18",1550.24,592090,6431316,319,-1705,1620,-355,3529,-993
"2009.08.19",1545.96,512337,6665190,3915,2002,-5894,209,-5260,-1055
"2009.08.20",1576.39,447655,6106759,-318,-1670,2288,540,2248,-1063
"2009.08.21",1580.98,507306,8041763,3534,2020,-5280,381,-3781,-1119
"2009.08.24",1612.22,534284,8720998,497,3017,-2755,557,-1662,-1517
"2009.08.25",1601.38,453240,7468121,2452,2094,-4391,155,-3569,-1006
"2009.08.26",1614.12,445002,6310476,1052,2090,-2727,-3,-2059,-462
"2009.08.27",1599.33,420789,6141303,630,2184,-2484,-45,-1361,-1143
"2009.08.28",1607.94,435945,6037960,-736,2076,-1286,103,-849,-568
"2009.08.31",1591.85,436565,6418353,2435,-273,-2108,282,-1688,-237
"2009.09.01",1623.06,438083,6978836,-2337,211,1954,400,2732,-1228
"2009.09.02",1613.16,554259,7904530,3231,-2871,-136,298,-392,-175
"2009.09.03",1613.53,485437,6941847,1102,-1523,337,166,985,-174
"2009.09.04",1608.9,586191,7024362,1603,72,-1265,813,-1447,-805
"2009.09.07",1608.57,405123,5731835,1904,313,-2008,926,-2473,-438
"2009.09.08",1619.69,515539,7301795,-547,741,46,65,1084,-959
"2009.09.09",1607.77,509140,7403129,4522,909,-5117,583,-4176,-886
"2009.09.10",1644.68,572210,8856986,-7588,4445,3024,-48,1644,295
"2009.09.11",1651.7,502186,7475010,-2056,5900,-3719,-12,-2425,-1084
"2009.09.14",1634.91,422046,6600806,1835,2042,-3579,296,-3115,-297
"2009.09.15",1653.4,500648,6985877,-47,3657,-3807,-836,-2532,-538
"2009.09.16",1683.33,546244,8682976,-9250,8967,509,-758,1796,-191
"2009.09.17",1695.47,517561,8908815,-2791,7797,-4482,-522,-2706,-910
"2009.09.18",1699.71,492622,8571088,-2399,14185,-11038,-1012,-7826,-1497
"2009.09.21",1695.5,510815,5441095,1429,1871,-3197,120,-2489,-806
"2009.09.22",1718.88,443149,6846381,-1983,5236,-3214,364,-2914,-782
"2009.09.23",1711.47,497042,7544396,1650,1277,-2865,-168,-1329,-559
"2009.09.24",1693.88,414640,7490017,3014,-885,-2091,-226,94,-1272
"2009.09.25",1691.48,383229,7438747,4442,-1481,-2920,990,-2762,-695
"2009.09.28",1675.55,346330,6460537,3836,-1249,-2356,414,-1473,-790
"2009.09.29",1690.05,339432,6656457,-329,-1220,1618,-602,2669,-319
"2009.09.30",1673.14,357366,7820325,-1862,-135,2367,-358,4165,-714
"2009.10.01",1644.63,332498,6920646,1658,-2438,760,1096,437,-704
"2009.10.05",1606.9,310754,6739034,3454,-3367,-51,1092,-858,355
